Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"L&#39Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d&#39un plan d&#39action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l&#39abondance de positivité?

Beaucoup de gens ne vivent leur vie qu&#39à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d&#39esprit. Les émotions devraient être un moyen d&#39obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo,Meditation
"L&#39Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d&#39un plan d&#39action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l&#39abondance de positivité?

Beaucoup de gens ne vivent leur vie qu&#39à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d&#39esprit. Les émotions devraient être un moyen d&#39obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo,Meditation
La révolution de la médecine vibratoire - Guérison quantique et thérapies de l&#39avenir,6.03,"Soigner et se déployer dans son existence avec l&#39énergie : une approche ancestrale en pleine évolutio
Après quarante années de recherches, au terme de dizaines de milliers de rencontres à travers le monde, Patrick Drouot développe une nouvelle vision thérapeutique de l&#39être humain s&#39appuyant sur des concepts novateurs tels que la médecine vibratoire et la psychologie énergétique. Il démontre que les champs d&#39énergie quantiques qui nous enveloppent –; les corps subtils –; ont un impact majeur sur notre santé, notre manière de penser, de vivre et de comprendre le monde d&#39une manière plus vaste.

De l&#39origine des médecines chamaniques, égyptiennes, tibétaines vers les possibilités thérapeutiques de l&#39avenir, cet ouvrage enseigne la manière de vivre et de rester en bonne santé. Il propose d&#39explorer ces pistes inédites, susceptibles d&#39apporter des solutions originales aux problèmes que nous rencontrons en ce début de millénaire. Un grand nombre de cas et plusieurs exercices pratiques sont proposés dans l&#39ouvrage.

C&#39est une nouvelle écologie de vie qu&#39offre ainsi l&#39auteur, en nous livrant les clés des mécanismes de l&#39énergie quantique vitale, et les incroyables possibilités de guérison personnelles, collectives et planétaires qui sommeillent en chacun de nous. Dans un langage clair et accessible, ce livre ouvre une nouvelle fenêtre sur la structure profonde de l&#39être humain et porte l&#39espoir que notre monde évolue vers de nouveaux "" possibles "".",978-2813229434,https://m.media-amazon.com/images/I/61sUG4zwgyL._SY522_.jpg,Les éditions Trédaniel (15 juin 2023),Patrick Drouot,Meditation
Maîtrisez vos émotions: Guide pratique pour vaincre la négativité et mieux gérer vos émotions,16.99,"Déjà plus de 300 000 ventes dans le monde

Voulez-vous surmonter vos émotions négatives ? Sentez-vous souvent que vous pourriez mieux faire ? Avez-vous besoin d’aide pour gérer votre stress ?
Avez-vous déjà été si absorbé par vos émotions négatives que vous pensiez qu’elles ne disparaîtraient jamais ?
La solution pour faire face à la négativité est de comprendre comment vos émotions fonctionnent et d’appliquer des techniques spécifiques pour vous assurer de les gérer efficacement.
Maîtrisez vos émotions est le manuel pratique que vos parents auraient dû vous donner à la naissance. En le lisant, vous apprendrez un processus étape par étape pour traiter les émotions négatives afin d&#39augmenter votre bien-être et mener une vie plus heureuse. Avec des exercices pratiques et des exemples personnels, vous explorerez des techniques qui déjouent les spirales drainantes de la négativité et qui apportent un soulagement immédiat.",979-8463595232,https://m.media-amazon.com/images/I/61lOrYzO9DL._SY522_.jpg,Independently published (19 novembre 2021),Thibaut Meurisse,Meditation
Développez vos facultés psychiques et spirituelles,26.0,"Le livre pratique de référence sur les techniques d&#39éveil sprituel qui a conquis des milliers de lecteurs à ce jour...
Nous possédons tous des facultés psychiques et spirituelles à l&#39état latent (intuition, clairvoyance, télépathie, médiumnité, vision de l&#39aura, voyage astral, magnétisme, radiesthésie...) qui ne demandent qu&#39à être révélées. Dans ce livre pratique et accessible, l&#39auteur fait le point sur vos différents potentiels. Grâce à des exercices adaptés, vous apprendrez progressivement à percevoir, toucher, sentir, et ressentir au-delà des cinq sens physiques, appréhendant ainsi les dimensions invisibles. En étroit contact avec vos capacités les plus subtiles, vous découvrirez des domaines insoupçonnés qui transformeront votre regard sur le monde qui vous entoure...",978-2911525667,https://m.media-amazon.com/images/I/61pZMdF3lEL._SY522_.jpg,Exergue (16 avril 2007),Serge Boutboul,Meditation
Le prophète,15.86,"Une langue limpide, des images évocatrices et fortes : à travers l’enseignement d’Al-Mustafa se dessinent quelques-uns des trésors
de l’expérience humaine. Rien n’échappe à la leçon du Sage : amour, joie, liberté, douleur, connaissance de soi, beauté, couple, passion, mort… La vie la plus intime, comme les problèmes les plus quotidiens.
Hymne à la vie et à l’épanouissement de soi, Le Prophète s’impose désormais comme l’un des textes cultes du xxe siècle.",978-2253064091,https://m.media-amazon.com/images/I/91vFKHyTa5L._SY522_.jpg,Le Livre de Poche; Illustrated édition (1 juin 1996),Khalil Gibran,Meditation
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",10.69,"THE INTERNATIONAL BESTSELLER - OVER 3 MILLION COPIES SOLD

&#39Dr. van der Kolk&#39s masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller&#39 Judith Herman, author of Trauma and Recovery

The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world&#39s experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.",978-0141978611,https://m.media-amazon.com/images/I/71BCCd79xgL._SY522_.jpg,Penguin; 1er édition (24 septembre 2015),Bessel van der Kolk,Meditation
L&#39Âme du monde,7.7,"Sept sages venus des quatres coins du monde se réunissent pour transmettre à deux jeunes adolescents les clés de la sagesse universelle.
Une fable initiatique étincelante qui touche le cœur autant que l&#39intelligence.

"" Et l&#39alchimiste Lenoir de redescendre de sa montagne avec ce best-seller aussi philosophique que philosophal. "" Thomas Malher – Le Point

"" Captivant. "" Elsa Godart – Psychologies",978-2266240659,https://m.media-amazon.com/images/I/51rtdK0TXNL._SY522_.jpg,Pocket (21 août 2014),Frédéric Lenoir,Meditation
"Spirothérapie: Des pranayamas aux pratiques modernes, plus de 50 techniques de respiration",19.9,"Rééduquer son souffle, reconnaître les vertus de la respiration et les instaurer dans sa vie comme un rituel de bien-être : bienvenue dans la spirothérapie ! Le livre de référence, par le créateur de la méthode, avec plus de 50 techniques de respiration issues des pranayamas d&#39origine et 10 programmes à composer selon ses besoins (relaxation, dynamisation, détox...).
La thérapie par le souffle
Grâce à la spirothérapie, ou thérapie par le souffle, une méthode de bien-être qui utilise les techniques de respiration contrôlée et consciente, il est possible de rééduquer son souffle pour améliorer son équilibre physique, émotionnel et mental, et prendre soin de sa santé.
Un outil accessible pour prendre soin de soi",978-2263177408,https://m.media-amazon.com/images/I/614xPAYo5NL._SY522_.jpg,Solar; Illustrated édition (14 avril 2022),Samuel Ganes,Meditation
Ikigai: The Japanese secret to a long and happy life,6.4,"THE INTERNATIONAL BESTSELLER

We all have an ikigai.

It&#39s the Japanese word for &#39a reason to live&#39 or &#39a reason to jump out of bed in the morning&#39.

It&#39s the place where your needs, desires, ambitions, and satisfaction meet. A place of balance. Small wonder that finding your ikigai is closely linked to living longer.

Finding your ikigai is easier than you might think. This book will help you work out what your own ikigai really is, and equip you to change your life. You have a purpose in this world: your skills, your interests, your desires and your history have made you the perfect candidate for something. All you have to do is find it.

Do that, and you can make every single day of your life joyful and meaningful.
______________________________",978-1786330895,https://m.media-amazon.com/images/I/814L+vq01mL._SY522_.jpg,Hutchinson; 1er édition (7 septembre 2017),Héctor García,Meditation
