Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
The Culture Map,19.36,"An international business expert helps you understand and navigate cultural differences in this insightful and practical guide, perfect for both your work and personal life.

Americans precede anything negative with three nice comments; French, Dutch, Israelis, and Germans get straight to the point; Latin Americans and Asians are steeped in hierarchy; Scandinavians think the best boss is just one of the crowd. It&#39s no surprise that when they try and talk to each other, chaos breaks out.

In The Culture Map, INSEAD professor Erin Meyer is your guide through this subtle, sometimes treacherous terrain in which people from starkly different backgrounds are expected to work harmoniously together. She provides a field-tested model for decoding how cultural differences impact international business, and combines a smart analytical framework with practical, actionable advice.",978-1610392761,https://m.media-amazon.com/images/I/71ReFbLwF1L._SY522_.jpg,PublicAffairs; 1er édition (5 janvier 2016),Erin Meyer,Communication
On n&#39ampute pas le cœur,19.0,"Au printemps 2023, une douleur aiguë, malheureusement familière, resurgit dans la jambe de Matthieu Lartot. Vingt-six ans après qu&#39il a été traité pour un sarcome, une nouvelle forme de ce cancer très rare réapparaît, encore plus agressive.
Cette fois, l&#39amputation est inévitable.

Devenu le Monsieur Rugby de France Télévisions, Matthieu décide de rendre publics sa maladie, son opération et l&#39objectif fou qu&#39il s&#39est fixé : être au rendez-vous de la Coupe du monde de rugby, qui s&#39ouvre deux mois plus tard. Il relève ce défi grâce à une détermination hors norme et à des rencontres qui ont transformé ce parcours du combattant en aventure humaine.
À travers ce témoignage, Matthieu Lartot souhaite transmettre son énergie tenace à ceux qui, comme lui, affrontent la maladie.",978-2221275320,https://m.media-amazon.com/images/I/51x44bjWdGL._SY522_.jpg,Robert Laffont (4 avril 2024),Matthieu Lartot,Communication
Jennifer Aniston: L&#39impossible bonheur,24.95,"Découvrez la fascinante histoire de l&#39une des actrices les plus emblématiques de notre époque. Plongez dans la vie d&#39une célébrité hors du commun : son parcours, ses succès et ses épreuves.

Cette biographie captivante retrace l&#39incroyable ascension de Jennifer Aniston, une « girl next door » californienne, enfant de la balle qui rêvait de faire mieux que ses parents. Légendaire Rachel de la série Friends, mariée un temps au sex-symbol de l&#39Amérique, Jennifer Aniston a gagné son statut d&#39icône et son étoile sur Hollywood boulevard.

Mais plus que l&#39actrice, c&#39est la femme qui mérite d&#39être connue. Son rêve de maternité brisé, son mariage ultra-compliqué avec Brad Pitt et les véritables raisons de leur rupture, ses relations jamais apaisées avec sa mère, sont autant d&#39épreuves qu&#39elle a su surmonter. Aux prises avec les démons de son ami Matthew Perry - c&#39est elle qui, la première, a deviné ses addictions - elle reste aujourd&#39hui le pilier de la famille de",978-2017234418,https://m.media-amazon.com/images/I/81DDkRmZFLL._SY522_.jpg,Hachette Pratique (15 mai 2024),Anaïs Maquiné Denecker,Communication
"LA RHÉTORIQUE – L’art du discours: Comment devenir un bon orateur, savoir parler avec éloquence et persuasion et améliorer son style grâce à une communication réussie",7.51,"Le livre sur la rhétorique !
Qui veut réussir de nos jours doit maîtriser l’art de la communication ! Seuls ceux qui sont authentiques et qui argumentent intelligemment peuvent atteindre leurs objectifs, que ce soit dans leur vie professionnelle ou privée.

Le livre RHÉTORIQUE – L’art du discours vous montre comment vous pouvez améliorer vos compétences en matière de discours et de persuasion, à l’aide de stratégies simples, afin d’obtenir ce que vous voulez dans la vie. Ce livre offre aux débutants les bases pour maîtriser l’art de la communication. Mais les experts dans ce domaine y trouveront également un aperçu du monde de la rhétorique, ce qui fait de cet ouvrage une référence pour tous.",979-8828494729,https://m.media-amazon.com/images/I/61-kY0zsRJL._SY522_.jpg,Independently published (16 mai 2022),Julius Loewenstein,Communication
"Le pouvoir de la communication assertive: Cultivez votre affirmation de soi, posez vos limites, améliorez votre confiance personnelle et professionnelle, et gagnez le respect que vous méritez",10.12,"Découvrez le Pouvoir de la Communication Assertive
Si vous faites partie des gens qui travaillent sans relâche et qui aspirent à obtenir un poste convoité depuis longtemps, ce livre vous est destiné.
Que ce soit dans le cadre professionnel ou dans la vie en général, nous sommes nombreux à travailler dans le but de décrocher ce que nous croyons mériter, mais nous n’avons pas tous la chance d’obtenir ce que nous désirons.
Est-ce seulement une question de chance? Nous ne le croyons pas! Il ne s’agit pas de chance, de karma ou de destin.
Si vous souhaitez réellement découvrir le secret des gens qui parviennent à atteindre leurs objectifs dans la vie, vous devriez",978-1958166482,https://m.media-amazon.com/images/I/61OAOUHTdkL._SY522_.jpg,Communication Excellence (8 juillet 2023),Gerard Shaw,Communication
"Moi, millionnaire ?",18.9,"L&#39incroyable destin de Bruno Hourcade, grand vainqueur des "" 12 Coups de Midi "" et recordman de victoires individuelles dans un jeu télé
Je n&#39étais, a priori, pas destiné aux paillettes des plateaux de télévision. Mais les livres, qui ont toujours été mes compagnons, ont guidé ma soif d&#39apprendre et de me cultiver. Une curiosité qui m&#39a propulsé, le 20 janvier 2021, sur le plateau des "" 12 Coups de Midi "", l&#39émission de jeu de culture générale la plus populaire de France, animée par le charismatique Jean-Luc Reichmann.

Neuf mois plus tard, je me retrouvais à la tête de plus d&#39un million d&#39euros. Un record en termes d&#39argent gagné, mais aussi de participations, deux-cent-cinquante-deux jours au total et une somme que je n&#39aurais jamais réussi à accumuler en toute une vie de travail.

Une aventure à peine imaginable que je vous propose de suivre à mes côtés en vous dévoilant au passage les coulisses de cette télévision qui a fait de moi un millionnaire.",978-2701404158,https://m.media-amazon.com/images/I/6149KCY9xWL._SY522_.jpg,Hors Collection (18 avril 2024),Bruno Hourcade,Communication
Créer son Label de Musique,10.43,"L’objectif c’est de Percer rapidement, pas dans 10 Ans ! Mais il faut ralentir pour accélérer. Ce livre parle de secrets.
Des secrets qui sont cachés à la vue de tous.
Des secrets que la plupart des gens sont trop programmés par le « système » pour voir.
Des secrets sur la création de label, sur la fiscalité, sur les optimisations dont on ne vous parle pas mais aussi sur la nature humaine, l&#39amélioration de soi, la vente, le marketing et la façon de fixer son prix intelligemment.
Il s&#39agit d&#39un livre sur le succès.
Ce livre parle de comment aller plus vite et plus loin grâce à l&#39effet de levier.",979-8322965596,https://m.media-amazon.com/images/I/71pjU5Xk0dL._SY522_.jpg,Independently published (15 avril 2024),Tarik Hamiche,Communication
"LE SENS DE LA RÉPARTIE - Plus jamais sans voix !: Argumenter avec éloquence grace à des techniques de communication efficaces, s&#39adapter aux situations difficiles et répondre de façon percutante",18.49,"Le sens de la répartie – Le nouveau bestseller !

Quiconque souhaite s&#39affirmer dans le monde d&#39aujourd&#39hui doit maîtriser l&#39art de la communication ! Et le sens de la répartie occupe une place de plus en plus importante dans ce domaine.

Cela vous est certainement déjà arrivé : quelqu&#39un vous fait une remarque impertinente, et vous ne savez pas comment réagir. Vous voulez répliquer de manière percutante - mais à ce moment précis, vous ne trouvez rien à dire ! Que ce soit au travail ou dans la vie privée, nous sommes toujours confrontés à des situations où nos interlocuteurs nous poussent à bout.

C&#39est pourquoi la répartie est devenue une compétence essentielle",979-8437777329,https://m.media-amazon.com/images/I/61aJ4nyPE6L._SY522_.jpg,Independently published (22 mars 2022),Julius Loewenstein,Communication
Incandescente pour toujours,19.0,"Professeure de chant de la Star Academy, Adeline Toniutti est LA révélation, sur TF1, de l&#39émission culte. Chaque semaine, sa flamboyance, son énergie, son expertise ont touché des millions de téléspectateurs. Derrière les feux des projecteurs, celle qu&#39on surnomme la « fille du facteur » ou la « soprano rock&#39n&#39roll » a réalisé un véritable parcours du combattant pour traverser les épreuves que la vie lui a infligées et pour retrouver le bonheur. Destinée à être chanteuse d&#39opéra, un accident domestique la prive de sa voix. Son compagnon se met alors à la maltraiter, les coups s&#39enchaînent, anorexie et chute sociale s&#39ensuivent. Cette vie, qui a pu la mener au bord du suicide, Adeline Toniutti nous la raconte dans Incandescente pour toujours. Intime, elle se livre, « l&#39âme dans la plume », à travers un récit poignant avec le ton et la force qu&#39on lui connaît, afin de nous rappeler : « Tant qu&#39on respire encore et qu&#39on ne nous a pas fermé les yeux, il faut se battre. »",978-2268110349,https://m.media-amazon.com/images/I/71L4QhM0B2L._SY522_.jpg,Editions du Rocher (3 avril 2024),Adeline Toniutti,Communication
25 exercices Excel avec corrigés détaillés par étapes - Tome 1 – Niveau débutants & Intermédiaires: Avec 50 classeurs téléchargeables,15.98,"Ce manuel pédagogique propose des exercices corrigés pour aider les apprenants à maîtriser les fonctionnalités clés d&#39Excel. Il est destiné aux débutants qui souhaitent acquérir une solide base en Excel, ainsi qu&#39aux utilisateurs avancés qui cherchent à améliorer leurs compétences.
Les exercices pratiques couvrent un large éventail de fonctionnalités d&#39Excel, notamment les fonctions de base, les graphiques, les formules avancées et bien plus encore. Chaque exercice est accompagné d&#39instructions détaillées pour aider les utilisateurs à comprendre les étapes à suivre pour atteindre l&#39objectif.
Les corrigés complets sont inclus pour chaque exercice, ce qui permet aux utilisateurs de vérifier leur travail et de comprendre les erreurs éventuelles.
Ce manuel d’exercices Excel est idéal pour les personnes qui souhaitent se former de manière autonome, mais il peut également être utilisé par des formateurs pour enrichir leur enseignement et donner des devoirs à leurs étudiants. Les utilisateurs peuvent suivre leur progression en cochant les exercices qu&#39ils ont terminés et en notant les points qui nécessitent une attention particulière.
Il a été conçu pour les niveaux débutants (exercices identifiés avec 1 étoile) et pour les niveaux intermédiaires (exercices identifiés avec 2 étoiles).",979-8374038460,https://m.media-amazon.com/images/I/61MjaAstx2L._SY522_.jpg,Independently published (17 janvier 2023),Philippe RIQUELME,Communication
L’Art du Small Talk: Guide pratique pour les introvertis afin de vaincre leurs peurs et communiquer facilement. Comment créer des liens instantanés et une impression positive,18.43,"Découvrez le Pouvoir du Small Talk et de la Première Impression !
Selon une étude sociologique récente, un individu moyen interagit avec environ 50 000 personnes au cours de sa vie.
Vous êtes-vous déjà demandé quelle impression vous laissiez aux personnes que vous rencontriez ?
Vous est-il déjà arrivé de faire connaissance avec quelqu&#39un et de ne plus savoir quoi ajouter après le « bonjour » initial ?
Vous avez du mal à engager la discussion et vous vous retrouvez souvent dans une situation de « silence gênant » ?
Heureusement, il existe des méthodes et des techniques qui vous permettront d&#39améliorer vos compétences en matière de conversation, de stimuler votre confiance et de faire une excellente première impression à chaque fois !",978-1958166451,https://m.media-amazon.com/images/I/61vyOruN4HL._SY522_.jpg,Communication Excellence (23 mai 2023),Gerard Shaw,Communication
Je m&#39appelais Franck,9.2,""" Je vais te raconter ma vie. Une vie de surprises, de chocs et de désillusions qui m&#39a fait prendre conscience de la fragilité de l&#39existence. Mais un parcours ponctué d&#39expériences plus ou moins heureuses dont j&#39ai toujours tiré une leçon. Et déjà, tu le sais, puisque c&#39est le titre du livre : avant d&#39être Vincent, je m&#39appelais Franck... ""
"" Je vais te raconter ma vie. Une vie de surprises, de chocs et de désillusions qui m&#39a fait prendre conscience de la fragilité de l&#39existence. Mais un parcours ponctué d&#39expériences plus ou moins heureuses dont j&#39ai toujours tiré une leçon. Et déjà, tu le sais, puisque c&#39est le titre du livre : avant d&#39être Vincent, je m&#39appelais Franck... ""

"" Vincent Lagaf&#39 est un survivant. """,978-2266340755,https://m.media-amazon.com/images/I/71ncSAwW-AL._SY522_.jpg,Pocket (4 avril 2024),Vincent Lagaf,Communication
90 Sophronisations Créatives,16.22,"Dans "" 90 Sophronisations Créatives"", l&#39auteure, Séverine CARQUEVILLE, partage passionnément sa décennie d&#39expérience en sophrologie.
Ce voyage captivant vers la découverte de soi est basé sur 15 thèmes essentiels de transformation personnelle, chaque thème contenant 6 sophronisations créatives uniques pour éveiller l&#39esprit et l&#39âme soit 90 sophronisations au total.

Que vous souhaitiez vaincre la peur, libérer la colère, cultiver la sérénité, trouver l&#39apaisement, augmenter l&#39énergie, renforcer la confiance en soi, apprendre à relativiser, opérer une métamorphose intérieure, gérer ses émotions, apaiser la douleur, nourrir l&#39optimisme, améliorer le sommeil, se préparer à une occasion importante, lâcher prise ou simplement prendre sa place dans ce monde, ce livre vous guidera avec bienveillance à travers ces parcours de transformation.

Plongez dans la sophronisation créative, explorez ces thèmes profonds et découvrez les trésors cachés de votre être.
Chaque sophronisation est une opportunité de vous épanouir et de devenir l&#39architecte de votre propre réalité intérieure.

Ce livre est le compagnon idéal pour votre voyage intérieur avec la sophronisation. Il vous offre un moyen puissant d&#39explorer votre monde intérieur, de développer vos capacités et de vous épanouir pleinement. Plongez dans ces pages et embarquez pour un voyage de découverte, de transformation et de croissance personnelle.",979-8866517794,https://m.media-amazon.com/images/I/61DWWjdfKEL._SY522_.jpg,Independently published (24 novembre 2023),Séverine Carqueville,Communication
